#Lambda		#gdark		#mchi		#mbx		#mphi		#omega 
   1.0000000000000000E-008   6.1554912500000000E-004  0.29999999999999999        5.0000000000000001E-003   8.0000000000000000       0.17618794757400000     
   1.0000000000000000E-008   6.1554912500000000E-004  0.29999999999999999        5.0000000000000001E-003   5.0000000000000000       0.17548889919899999     
   1.0000000000000001E-009   9.8487860000000000E-003  0.29999999999999999       0.80000000000000004        10.000000000000000       0.17429757230000001     
   1.0000000000000001E-009   9.8487860000000000E-003  0.29999999999999999       0.80000000000000004        50.000000000000000       0.17429757230000001     
   1.0000000000000001E-009   9.8487860000000000E-003  0.29999999999999999       0.80000000000000004        100.00000000000000       0.17429757230000001     
   1.0000000000000001E-009   9.8487860000000000E-003  0.29999999999999999       0.80000000000000004        5.0000000000000000       0.17429757230000001     
   1.0000000000000001E-009   9.8487860000000000E-003  0.29999999999999999       0.80000000000000004        8.0000000000000000       0.17429757230000001     
   1.0000000000000001E-009   9.8487860000000000E-003  0.29999999999999999       0.80000000000000004        1.0000000000000000       0.17428619643500001     
   1.0000000000000000E-008   9.8487860000000000E-004  0.29999999999999999        8.0000000000000002E-003   10.000000000000000       0.17372354881300001     
   1.0000000000000000E-008   9.8487860000000000E-004  0.29999999999999999        8.0000000000000002E-003   8.0000000000000000       0.17365110639900000     
   1.0000000000000000E-008   9.8487860000000000E-004  0.29999999999999999        8.0000000000000002E-003   5.0000000000000000       0.17297283131999999     
   1.0000000000000000E-008   1.2310983000000000E-005  0.10000000000000001        1.0000000000000000E-004   1.0000000000000000       0.17230864000400001     
   1.0000000000000000E-008   6.1554912999999998E-005  0.10000000000000001        5.0000000000000001E-004   1.0000000000000000       0.17229245280300001     
   1.0000000000000000E-008   1.2310982500000000E-004  0.10000000000000001        1.0000000000000000E-003   1.0000000000000000       0.17224188871000001     
   1.0000000000000000E-008   2.4621965000000000E-004  0.10000000000000001        2.0000000000000000E-003   1.0000000000000000       0.17203994863200001     
   1.0000000000000000E-008   3.6932947500000000E-004  0.10000000000000001        3.0000000000000001E-003   1.0000000000000000       0.17170450226100001     
   1.0000000000000000E-008   1.2310982500000000E-003  0.29999999999999999        1.0000000000000000E-002   10.000000000000000       0.17144536418000000     
   1.0000000000000000E-008   1.2310982500000000E-003  0.29999999999999999        1.0000000000000000E-002   8.0000000000000000       0.17137488828100000     
